sym,day,entry_time,entry_px,exit_px,ret_opt_pct,points,reason
AARTIIND,2026-06-12,2026-06-12 09:20:00+05:30,437.7999877929688,435.7571345738003,-0.37997075506560946,-2.04,sl
AARTIIND,2026-06-15,2026-06-15 10:15:00+05:30,463.1499938964844,467.0,0.39875929883433586,3.85,time
AARTIIND,2026-06-18,2026-06-18 09:40:00+05:30,492.8500061035156,490.2000056675502,-0.4226134202878128,-2.65,sl
AARTIIND,2026-06-22,2026-06-22 09:25:00+05:30,490.2999877929688,490.2999877929688,-0.1,0.0,sl
AARTIIND,2026-07-01,2026-07-01 12:20:00+05:30,468.3500061035156,471.19287109375,0.26419749587098834,2.84,tp
AARTIIND,2026-07-02,2026-07-02 09:25:00+05:30,476.6499938964844,480.0785609654018,0.3315829786409684,3.43,tp
AARTIIND,2026-07-06,2026-07-06 09:20:00+05:30,490.0,494.1857212611607,0.41253729728498634,4.19,tp
AARTIIND,2026-07-10,2026-07-10 09:45:00+05:30,480.5499877929688,484.88571166992193,0.44134520700323654,4.34,tp
AARTIIND,2026-07-14,2026-07-14 09:30:00+05:30,489.0,487.23213849748885,-0.3169155217805095,-1.77,sl
AARTIIND,2026-07-15,2026-07-15 09:20:00+05:30,499.0,496.64999607631137,-0.38256560204672935,-2.35,sl
AARTIIND,2026-07-20,2026-07-20 11:15:00+05:30,496.8999938964844,499.09285627092635,0.16478515613330388,2.19,tp
AARTIIND,2026-07-27,2026-07-27 09:20:00+05:30,485.75,485.75,-0.1,0.0,sl
AARTIIND,2026-08-06,2026-08-06 11:05:00+05:30,494.3500061035156,497.00000435965404,0.22163425387924618,2.65,tp
AARTIIND,2026-08-07,2026-08-07 11:50:00+05:30,507.0,509.2428501674108,0.16542605531488513,2.24,tp
AARTIIND,2026-08-12,2026-08-12 09:25:00+05:30,512.5,511.096426827567,-0.2643207616506959,-1.4,sl
ABB,2026-06-04,2026-06-04 09:30:00+05:30,7288.0,7263.785714285715,-0.2993492237729308,-24.21,sl
ABB,2026-06-16,2026-06-16 09:20:00+05:30,7007.0,7007.0,-0.1,0.0,sl
ABB,2026-06-19,2026-06-19 09:20:00+05:30,7285.0,7261.75,-0.29148936170212764,-23.25,sl
ABB,2026-07-09,2026-07-09 11:45:00+05:30,6858.5,6846.107142857143,-0.20841604265822164,-12.39,sl
ABB,2026-07-15,2026-07-15 10:55:00+05:30,7112.5,7167.642857142857,0.36517700225960104,55.14,tp
ABB,2026-07-16,2026-07-16 10:40:00+05:30,7731.0,7853.785714285715,0.8529353068351935,122.79,tp
ABB,2026-07-21,2026-07-21 09:40:00+05:30,7609.0,7578.5,-0.3405046655276646,-30.5,sl
ABB,2026-07-22,2026-07-22 11:40:00+05:30,7634.0,7613.178571428572,-0.26364759160148105,-20.82,sl
ABB,2026-07-23,2026-07-23 10:40:00+05:30,7677.5,7656.285714285715,-0.2657905754291266,-21.21,sl
ABB,2026-08-03,2026-08-03 11:55:00+05:30,7569.0,7538.321428571428,-0.3431912122756366,-30.68,sl
ABB,2026-08-04,2026-08-04 09:35:00+05:30,7809.0,7765.928571428572,-0.43093683112891623,-43.07,sl
ABB,2026-08-10,2026-08-10 12:35:00+05:30,7635.0,7624.428571428572,-0.18307605950041997,-10.57,sl
ABBOTINDIA,2026-06-09,2026-06-09 12:25:00+05:30,25970.0,25924.285714285714,-0.2056163705374345,-45.71,sl
ABBOTINDIA,2026-06-30,2026-06-30 12:35:00+05:30,25445.0,25408.571428571428,-0.18589955927350552,-36.43,sl
ABBOTINDIA,2026-07-03,2026-07-03 11:55:00+05:30,25970.0,26058.571428571428,0.10463171791627464,88.57,tp
ABBOTINDIA,2026-07-06,2026-07-06 09:40:00+05:30,26450.0,26450.0,-0.1,0.0,sl
ABBOTINDIA,2026-07-10,2026-07-10 10:20:00+05:30,27195.0,27119.64285714286,-0.26625955401465257,-75.36,sl
ABBOTINDIA,2026-07-16,2026-07-16 10:35:00+05:30,27805.0,27744.285714285714,-0.2310144629691485,-60.71,sl
ABBOTINDIA,2026-07-20,2026-07-20 11:30:00+05:30,28250.0,28250.0,-0.1,0.0,sl
ABBOTINDIA,2026-07-21,2026-07-21 12:20:00+05:30,28600.0,28600.0,-0.1,0.0,sl
ABBOTINDIA,2026-08-03,2026-08-03 12:00:00+05:30,27955.0,27918.571428571428,-0.17818688197869248,-36.43,sl
ABBOTINDIA,2026-08-11,2026-08-11 11:30:00+05:30,27705.0,27663.928571428572,-0.18894732771289122,-41.07,sl
ADANIENT,2026-06-04,2026-06-04 09:20:00+05:30,2965.10009765625,2965.10009765625,-0.1,0.0,sl
ADANIENT,2026-06-05,2026-06-05 09:35:00+05:30,3046.0,3026.4071742466517,-0.4859387869996378,-19.59,sl
ADANIENT,2026-06-19,2026-06-19 09:20:00+05:30,3049.300048828125,3036.300066266741,-0.3557960650618178,-13.0,sl
ADANIENT,2026-06-25,2026-06-25 09:35:00+05:30,3098.39990234375,3087.392752511161,-0.3131516301223025,-11.01,sl
ADANIENT,2026-06-30,2026-06-30 11:20:00+05:30,3007.5,3001.6785714285716,-0.21613822586390904,-5.82,sl
ADANIENT,2026-07-01,2026-07-01 10:30:00+05:30,3091.39990234375,3091.39990234375,-0.1,0.0,sl
ADANIENT,2026-07-03,2026-07-03 12:45:00+05:30,3215.0,3203.471435546875,-0.3151520582231726,-11.53,sl
ADANIENT,2026-07-09,2026-07-09 12:25:00+05:30,3095.89990234375,3085.12850516183,-0.3087547567109393,-10.77,sl
ADANIENT,2026-07-10,2026-07-10 12:50:00+05:30,3182.199951171875,3176.099940708705,-0.2150149687028331,-6.1,sl
ADANIENT,2026-08-14,2026-08-14 10:10:00+05:30,3006.300048828125,2996.0072021484375,-0.30542553662332644,-10.29,sl
ADANIENT,2026-08-18,2026-08-18 12:25:00+05:30,3034.5,3030.5071323939733,-0.17894943363374632,-3.99,sl
ADANIPORTS,2026-06-02,2026-06-02 12:45:00+05:30,1795.199951171875,1802.8427734375,0.1554419275903801,7.64,tp
ADANIPORTS,2026-06-04,2026-06-04 09:20:00+05:30,1824.0,1817.9785766601562,-0.2980731361790707,-6.02,sl
